Source,ID,dn (cm),gamma ((rhoS-rho)/rho); submerged specific density,Kinematic viscsity (cm^2/s),reported w (cm/s)
Shultz 3,430,0.07,1.8,0.011,5.42
Shultz 4,431,0.16,1.57,0.011,13.28
Shultz 5,432,0.104,1.65,0.0113,8.81
Shultz 6,433,0.089,1.57,0.0111,10.98
Shultz 7,434,0.063,1.65,0.0113,7
Shultz 8,435,0.081,3,0.0116,14.5
Shultz 9,436,0.084,1.57,0.0117,5.54
Shultz 10,437,0.074,1.65,0.0118,8.57
Shultz 11,438,0.087,2,0.0116,9.5
Shultz 12,439,0.091,2,0.0113,10
Shultz 13,440,0.099,1.8,0.0113,10.68
Shultz 14,441,0.101,1.57,0.0113,8.25
Shultz 15,442,0.083,1.57,0.0113,8.84
Shultz 16,443,0.095,1.65,0.0113,10.38
Shultz 17,444,0.055,1.8,0.011,4.3
